id,code,name,city,country
1,PMI,Palma de Mallorca Airport,Palma,Spain
2,BCN,Barcelona-El Prat Airport,Barcelona,Spain
3,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain
4,VLC,Valencia Airport,Valencia,Spain
5,BIO,Bilbao Airport,Bilbao,Spain
